'7T08BV08', '0', '1', 'http://www.wikidata.org/prop/direct/P17'
'VP8BY9U4', '0', '2', 'http://www.wikidata.org/prop/direct/P664'
'VP8BY9U4', '0', '3', 'http://www.wikidata.org/prop/direct/P276'
'2I4NYKJJ', '0', '1', 'http://www.wikidata.org/prop/P2663'
'2I4NYKJJ', '0', '2', 'http://www.wikidata.org/prop/P1128'
'2I4NYKJJ', '0', '3', 'http://www.wikidata.org/prop/direct/P1454'
'2I4NYKJJ', '0', '4', 'http://www.wikidata.org/prop/direct/P463'
'1DK4GU34', '0', '1', 'http://www.wikidata.org/prop/P2663'
'1DK4GU34', '0', '2', 'http://www.wikidata.org/prop/P1128'
'1DK4GU34', '0', '3', 'http://www.wikidata.org/prop/direct/P1454'
'1DK4GU34', '0', '4', 'http://www.wikidata.org/prop/direct/P463'
'6FDI27MF', '0', '1', 'http://www.wikidata.org/prop/P2663'
'6FDI27MF', '0', '2', 'http://www.wikidata.org/prop/P1128'
'6FDI27MF', '0', '3', 'http://www.wikidata.org/prop/direct/P1454'
'6FDI27MF', '0', '4', 'http://www.wikidata.org/prop/direct/P463'
'9IZCXDTO', '0', '1', 'http://www.wikidata.org/prop/P2663'
'9IZCXDTO', '0', '2', 'http://www.wikidata.org/prop/P1128'
'9IZCXDTO', '0', '3', 'http://www.wikidata.org/prop/direct/P1454'
'9IZCXDTO', '0', '4', 'http://www.wikidata.org/prop/direct/P463'
'SEH63VJ7', '0', '1', 'http://www.wikidata.org/prop/P2663'
'SEH63VJ7', '0', '2', 'http://www.wikidata.org/prop/P1128'
'SEH63VJ7', '0', '3', 'http://www.wikidata.org/prop/direct/P1454'
'SEH63VJ7', '0', '4', 'http://www.wikidata.org/prop/direct/P463'
'LG5PZP3C', '0', '1', 'http://www.wikidata.org/prop/direct/P159'
'LG5PZP3C', '0', '2', 'http://www.wikidata.org/prop/direct/P1366', 3, 'http://www.wikidata.org/prop/direct/P1366', 3, 'http://www.wikidata.org/prop/direct/P355', 1, 'http://www.wikidata.org/prop/direct/P1830', 1
'LG5PZP3C', '0', '3', 'http://www.wikidata.org/prop/P576', 2, 'http://www.wikidata.org/prop/direct/P1366', 1, 'http://www.wikidata.org/prop/P576', 2
'LG5PZP3C', '0', '4', 'http://www.wikidata.org/prop/direct/P17'
'72J8F4GS', '0', '1', 'http://www.wikidata.org/prop/direct/P31'
'72J8F4GS', '0', '2', 'http://www.wikidata.org/prop/direct/P1365', 3, 'http://www.wikidata.org/prop/direct/P127', 1, 'http://www.wikidata.org/prop/direct/P749', 1, 'http://www.wikidata.org/prop/direct/P1365', 3
'72J8F4GS', '0', '3', 'http://www.wikidata.org/prop/P571', 3, 'http://www.wikidata.org/prop/P2295', 1, 'http://www.wikidata.org/prop/P571', 3, 'http://www.wikidata.org/prop/direct/P1365', 2
'FTC8ZQJ3', '0', '1', 'http://www.wikidata.org/prop/direct/P31'
'FTC8ZQJ3', '0', '2', 'http://www.wikidata.org/prop/P2923'
'FTC8ZQJ3', '0', '3', 'http://www.wikidata.org/prop/direct/P17'
'FTC8ZQJ3', '0', '4', 'http://www.wikidata.org/prop/direct/P131'
'FTC8ZQJ3', '0', '5', 'http://www.wikidata.org/prop/direct/P186'
'4H47RUR2', '0', '1', 'http://www.wikidata.org/prop/direct/P31'
'4H47RUR2', '0', '2', 'http://www.wikidata.org/prop/P2923', 7, 'http://www.wikidata.org/prop/direct/P131', 1, 'http://www.wikidata.org/prop/P2923', 7
'4H47RUR2', '0', '3', 'http://www.wikidata.org/prop/direct/P17'
'4H47RUR2', '0', '4', 'http://www.wikidata.org/prop/direct/P131'
'4H47RUR2', '0', '5', 'http://www.wikidata.org/prop/direct/P186'
'90NT606W', '0', '1', 'http://www.wikidata.org/prop/direct/P31'
'90NT606W', '0', '2', 'http://www.wikidata.org/prop/P2923'
'90NT606W', '0', '3', 'http://www.wikidata.org/prop/direct/P17'
'90NT606W', '0', '4', 'http://www.wikidata.org/prop/direct/P131'
'90NT606W', '0', '5', 'http://www.wikidata.org/prop/direct/P186'
'BFTYFH2O', '0', '1', 'http://www.wikidata.org/prop/direct/P31'
'BFTYFH2O', '0', '2', 'http://www.wikidata.org/prop/P2923'
'BFTYFH2O', '0', '3', 'http://www.wikidata.org/prop/direct/P17'
'BFTYFH2O', '0', '4', 'http://www.wikidata.org/prop/direct/P131'
'BFTYFH2O', '0', '5', 'http://www.wikidata.org/prop/direct/P186'
'80AL3CWX', '0', '1', 'http://www.wikidata.org/prop/direct/P31'
'80AL3CWX', '0', '2', 'http://www.wikidata.org/prop/P2923'
'80AL3CWX', '0', '3', 'http://www.wikidata.org/prop/direct/P17'
'80AL3CWX', '0', '4', 'http://www.wikidata.org/prop/direct/P131'
'80AL3CWX', '0', '5', 'http://www.wikidata.org/prop/direct/P186'
'6GQRMNCW', '0', '1', 'http://www.wikidata.org/prop/P730', 3, 'http://www.wikidata.org/prop/P1030', 2, 'http://www.wikidata.org/prop/direct/P1366', 2, 'http://www.wikidata.org/prop/P1366', 2, 'http://www.wikidata.org/prop/P730', 3
'6GQRMNCW', '0', '2', 'http://www.wikidata.org/prop/P2048'
'6GQRMNCW', '0', '3', 'http://www.wikidata.org/prop/direct/P462'
'6GQRMNCW', '0', '4', 'http://www.wikidata.org/prop/P571', 3, 'http://www.wikidata.org/prop/P2923', 2, 'http://www.wikidata.org/prop/P571', 3
'NOSJCK5N', '0', '1', 'http://www.wikidata.org/prop/P730', 3, 'http://www.wikidata.org/prop/P1030', 2, 'http://www.wikidata.org/prop/direct/P1366', 2, 'http://www.wikidata.org/prop/P1366', 2, 'http://www.wikidata.org/prop/P730', 3
'NOSJCK5N', '0', '2', 'http://www.wikidata.org/prop/P2048'
'NOSJCK5N', '0', '3', 'http://www.wikidata.org/prop/direct/P462'
'NOSJCK5N', '0', '4', 'http://www.wikidata.org/prop/P571', 3, 'http://www.wikidata.org/prop/P2923', 2, 'http://www.wikidata.org/prop/P571', 3
'RWR372KK', '0', '1', 'http://www.wikidata.org/prop/P2929', 3, 'http://www.wikidata.org/prop/direct/P17', 2, 'http://www.wikidata.org/prop/P2929', 3
'RWR372KK', '0', '2', 'http://www.wikidata.org/prop/P729', 3, 'http://www.wikidata.org/prop/P571', 1, 'http://www.wikidata.org/prop/P729', 3
'RWR372KK', '0', '3', 'http://www.wikidata.org/prop/direct/P206'
'RWR372KK', '0', '4', 'http://www.wikidata.org/prop/direct/P1435'
'I42BZ7VX', '0', '1', 'http://www.wikidata.org/prop/P2929'
'I42BZ7VX', '0', '2', 'http://www.wikidata.org/prop/P729', 3, 'http://www.wikidata.org/prop/P571', 1, 'http://www.wikidata.org/prop/P729', 3
'I42BZ7VX', '0', '3', 'http://www.wikidata.org/prop/direct/P206'
'I42BZ7VX', '0', '4', 'http://www.wikidata.org/prop/direct/P1435'
'3WFRPNM2', '0', '1', 'http://www.wikidata.org/prop/direct/P31'
'3WFRPNM2', '0', '2', 'http://www.wikidata.org/prop/direct/P138'
'3WFRPNM2', '0', '3', 'http://www.wikidata.org/prop/direct/P131'
'3WFRPNM2', '0', '4', 'http://www.wikidata.org/prop/P571'
'3WFRPNM2', '0', '5', 'http://www.wikidata.org/prop/direct/P17'
'DK53ZFU3', '0', '1', 'http://www.wikidata.org/prop/direct/P31'
'DK53ZFU3', '0', '2', 'http://www.wikidata.org/prop/direct/P138'
'DK53ZFU3', '0', '3', 'http://www.wikidata.org/prop/direct/P131'
'DK53ZFU3', '0', '4', 'http://www.wikidata.org/prop/P571', 10, 'http://www.wikidata.org/prop/direct/P527', 1, 'http://www.wikidata.org/prop/P571', 10, 'http://www.wikidata.org/prop/direct/P361', 1, 'http://www.wikidata.org/prop/P793', 1
'DK53ZFU3', '0', '5', 'http://www.wikidata.org/prop/direct/P17'
'YJ2P2K7G', '0', '1', 'http://www.wikidata.org/prop/direct/P31'
'YJ2P2K7G', '0', '2', 'http://www.wikidata.org/prop/direct/P138'
'YJ2P2K7G', '0', '3', 'http://www.wikidata.org/prop/direct/P131', 6, 'http://www.wikidata.org/prop/direct/P276', 1, 'http://www.wikidata.org/prop/direct/P131', 6
'YJ2P2K7G', '0', '4', 'http://www.wikidata.org/prop/P571'
'YJ2P2K7G', '0', '5', 'http://www.wikidata.org/prop/direct/P17'
'FZ1F5QMD', '0', '1', 'http://www.wikidata.org/prop/direct/P31'
'FZ1F5QMD', '0', '2', 'http://www.wikidata.org/prop/direct/P138'
'FZ1F5QMD', '0', '3', 'http://www.wikidata.org/prop/direct/P131'
'FZ1F5QMD', '0', '4', 'http://www.wikidata.org/prop/P571'
'FZ1F5QMD', '0', '5', 'http://www.wikidata.org/prop/direct/P17'
'L7ITWMWS', '0', '1', 'http://www.wikidata.org/prop/direct/P84'
'L7ITWMWS', '0', '2', 'http://www.wikidata.org/prop/direct/P149'
'L7ITWMWS', '0', '3', 'http://www.wikidata.org/prop/P571'
'L7ITWMWS', '0', '4', 'http://www.wikidata.org/prop/direct/P1435'
'L7ITWMWS', '0', '5', 'http://www.wikidata.org/prop/direct/P31'
'L7ITWMWS', '0', '6', 'http://www.wikidata.org/prop/direct/P17'
'B0Q7Z2R8', '0', '1', 'http://www.wikidata.org/prop/direct/P84'
'B0Q7Z2R8', '0', '2', 'http://www.wikidata.org/prop/direct/P149'
'B0Q7Z2R8', '0', '3', 'http://www.wikidata.org/prop/P571'
'B0Q7Z2R8', '0', '4', 'http://www.wikidata.org/prop/direct/P1435'
'B0Q7Z2R8', '0', '5', 'http://www.wikidata.org/prop/direct/P31'
'B0Q7Z2R8', '0', '6', 'http://www.wikidata.org/prop/direct/P17'
'GR1WR8JS', '0', '1', 'http://www.wikidata.org/prop/direct/P84'
'GR1WR8JS', '0', '2', 'http://www.wikidata.org/prop/direct/P149'
'GR1WR8JS', '0', '3', 'http://www.wikidata.org/prop/P571'
'GR1WR8JS', '0', '4', 'http://www.wikidata.org/prop/direct/P1435'
'GR1WR8JS', '0', '5', 'http://www.wikidata.org/prop/direct/P31'
'GR1WR8JS', '0', '6', 'http://www.wikidata.org/prop/direct/P17'
'PLVTGKE7', '0', '1', 'http://www.wikidata.org/prop/direct/P84'
'PLVTGKE7', '0', '2', 'http://www.wikidata.org/prop/direct/P149'
'PLVTGKE7', '0', '3', 'http://www.wikidata.org/prop/P571', 3, 'http://www.wikidata.org/prop/P793', 1, 'http://www.wikidata.org/prop/P571', 3
'PLVTGKE7', '0', '4', 'http://www.wikidata.org/prop/direct/P1435'
'PLVTGKE7', '0', '5', 'http://www.wikidata.org/prop/direct/P31'
'PLVTGKE7', '0', '6', 'http://www.wikidata.org/prop/direct/P17'
'DNY4YO2H', '0', '1', 'http://www.wikidata.org/prop/direct/P84'
'DNY4YO2H', '0', '2', 'http://www.wikidata.org/prop/direct/P149'
'DNY4YO2H', '0', '3', 'http://www.wikidata.org/prop/P571'
'DNY4YO2H', '0', '4', 'http://www.wikidata.org/prop/direct/P1435'
'DNY4YO2H', '0', '5', 'http://www.wikidata.org/prop/direct/P31'
'DNY4YO2H', '0', '6', 'http://www.wikidata.org/prop/direct/P17'
'4ZRV6FZP', '0', '1', 'http://www.wikidata.org/prop/direct/P361'
'4ZRV6FZP', '0', '2', 'http://www.wikidata.org/prop/direct/P17'
'4ZRV6FZP', '0', '3', 'http://www.wikidata.org/prop/direct/P1435'
'NXKMMMKC', '0', '1', 'http://www.wikidata.org/prop/direct/P669'
'NXKMMMKC', '0', '2', 'http://www.wikidata.org/prop/direct/P131', 5, 'http://www.wikidata.org/prop/direct/P276', 1, 'http://www.wikidata.org/prop/direct/P131', 5
'NXKMMMKC', '0', '3', 'http://www.wikidata.org/prop/direct/P31'
'45XXWAOK', '0', '1', 'http://www.wikidata.org/prop/direct/P669'
'45XXWAOK', '0', '2', 'http://www.wikidata.org/prop/direct/P131'
'45XXWAOK', '0', '3', 'http://www.wikidata.org/prop/direct/P31'
'MZ407G2B', '0', '1', 'http://www.wikidata.org/prop/direct/P495'
'MZ407G2B', '0', '2', 'http://www.wikidata.org/prop/direct/P1434'
'MZ407G2B', '0', '3', 'http://www.wikidata.org/prop/direct/P407', 8, 'http://www.wikidata.org/prop/direct/P407', 8, 'http://www.wikidata.org/prop/direct/P364', 2
'HYHE4LXR', '0', '1', 'http://www.wikidata.org/prop/direct/P495'
'HYHE4LXR', '0', '2', 'http://www.wikidata.org/prop/direct/P1434'
'HYHE4LXR', '0', '3', 'http://www.wikidata.org/prop/direct/P407'
'8P58HHTS', '0', '1', 'http://www.wikidata.org/prop/direct/P495'
'8P58HHTS', '0', '2', 'http://www.wikidata.org/prop/direct/P1434'
'8P58HHTS', '0', '3', 'http://www.wikidata.org/prop/direct/P407'
'DLC2DSJV', '0', '1', 'http://www.wikidata.org/prop/direct/P123'
'DLC2DSJV', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'DLC2DSJV', '0', '3', 'http://www.wikidata.org/prop/P577', 3, 'http://www.wikidata.org/prop/P577', 3, 'http://www.wikidata.org/prop/direct/P400', 1
'VGWFC159', '0', '1', 'http://www.wikidata.org/prop/direct/P123'
'VGWFC159', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'VGWFC159', '0', '3', 'http://www.wikidata.org/prop/P577'
'0GK2IEKA', '0', '1', 'http://www.wikidata.org/prop/direct/P123'
'0GK2IEKA', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'0GK2IEKA', '0', '3', 'http://www.wikidata.org/prop/P577', 7, 'http://www.wikidata.org/prop/P577', 7, 'http://www.wikidata.org/prop/direct/P1433', 1
'KOVUQZ96', '0', '1', 'http://www.wikidata.org/prop/direct/P123'
'KOVUQZ96', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'KOVUQZ96', '0', '3', 'http://www.wikidata.org/prop/P577'
'PML4OO7D', '0', '1', 'http://www.wikidata.org/prop/direct/P123'
'PML4OO7D', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'PML4OO7D', '0', '3', 'http://www.wikidata.org/prop/P577', 3, 'http://www.wikidata.org/prop/P580', 1, 'http://www.wikidata.org/prop/P577', 3, 'http://www.wikidata.org/prop/direct/P123', 1
'4IYZDP0H', '0', '1', 'http://www.wikidata.org/prop/P580', 3, 'http://www.wikidata.org/prop/P580', 3, 'http://www.wikidata.org/prop/direct/P155', 1, 'http://www.wikidata.org/prop/P577', 2
'4IYZDP0H', '0', '2', 'http://www.wikidata.org/prop/direct/P50'
'4IYZDP0H', '0', '3', 'http://www.wikidata.org/prop/direct/P674', 6, 'http://www.wikidata.org/prop/direct/P674', 6, 'http://www.wikidata.org/prop/direct/P179', 1
'4IYZDP0H', '0', '4', 'http://www.wikidata.org/prop/direct/P6338'
'MHO2YUH2', '0', '1', 'http://www.wikidata.org/prop/direct/P31'
'MHO2YUH2', '0', '2', 'http://www.wikidata.org/prop/direct/P186'
'MHO2YUH2', '0', '3', 'http://www.wikidata.org/prop/direct/P279'
'IAPDV783', '0', '1', 'http://www.wikidata.org/prop/direct/P31'
'IAPDV783', '0', '2', 'http://www.wikidata.org/prop/direct/P186'
'IAPDV783', '0', '3', 'http://www.wikidata.org/prop/direct/P279', 3, 'http://www.wikidata.org/prop/direct/P366', 1, 'http://www.wikidata.org/prop/direct/P279', 3
'C2PDXVDE', '0', '1', 'http://www.wikidata.org/prop/direct/P407'
'C2PDXVDE', '0', '2', 'http://www.wikidata.org/prop/P2047'
'C2PDXVDE', '0', '3', 'http://www.wikidata.org/prop/direct/P921', 12, 'http://www.wikidata.org/prop/direct/P710', 9, 'http://www.wikidata.org/prop/direct/P921', 12
'5FQ9AKCM', '0', '1', 'http://www.wikidata.org/prop/direct/P407'
'5FQ9AKCM', '0', '2', 'http://www.wikidata.org/prop/P2047'
'5FQ9AKCM', '0', '3', 'http://www.wikidata.org/prop/direct/P921'
'GYFAMHXA', '0', '1', 'http://www.wikidata.org/prop/direct/P407'
'GYFAMHXA', '0', '2', 'http://www.wikidata.org/prop/P2047'
'GYFAMHXA', '0', '3', 'http://www.wikidata.org/prop/direct/P921'
'VH5A17QU', '0', '1', 'http://www.wikidata.org/prop/direct/P407'
'VH5A17QU', '0', '2', 'http://www.wikidata.org/prop/P2047'
'VH5A17QU', '0', '3', 'http://www.wikidata.org/prop/direct/P921'
'8U0CJN6U', '0', '1', 'http://www.wikidata.org/prop/direct/P407'
'8U0CJN6U', '0', '2', 'http://www.wikidata.org/prop/P2047'
'8U0CJN6U', '0', '3', 'http://www.wikidata.org/prop/direct/P921'
'0HFR3GUV', '0', '1', 'http://www.wikidata.org/prop/P1476', 13, 'http://www.wikidata.org/prop/P1476', 13, 'http://www.wikidata.org/prop/P1243', 1, 'http://www.wikidata.org/prop/direct/P2550', 3, 'http://www.wikidata.org/prop/direct/P1889', 10, 'http://www.wikidata.org/prop/direct/P1433', 1
'0HFR3GUV', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'0HFR3GUV', '0', '3', 'http://www.wikidata.org/prop/P1476', 13, 'http://www.wikidata.org/prop/P1476', 13, 'http://www.wikidata.org/prop/P1243', 1, 'http://www.wikidata.org/prop/direct/P2550', 3, 'http://www.wikidata.org/prop/direct/P1889', 10, 'http://www.wikidata.org/prop/direct/P1433', 1
'S8236OBJ', '0', '1', 'http://www.wikidata.org/prop/direct/P1889', 239, 'http://www.wikidata.org/prop/direct/P658', 15, 'http://www.wikidata.org/prop/direct/P144', 5, 'http://www.wikidata.org/prop/direct/P5059', 2, 'http://www.wikidata.org/prop/direct/P735', 1, 'http://www.wikidata.org/prop/direct/P361', 6, 'http://www.wikidata.org/prop/direct/P1533', 1, 'http://www.wikidata.org/prop/P1476', 82, 'http://www.wikidata.org/prop/P1243', 21, 'http://www.wikidata.org/prop/direct/P2550', 56, 'http://www.wikidata.org/prop/direct/P1889', 239, 'http://www.wikidata.org/prop/direct/P1433', 14
'S8236OBJ', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'S8236OBJ', '0', '3', 'http://www.wikidata.org/prop/direct/P1889', 26, 'http://www.wikidata.org/prop/direct/P658', 4, 'http://www.wikidata.org/prop/direct/P361', 1, 'http://www.wikidata.org/prop/P1476', 5, 'http://www.wikidata.org/prop/P1243', 1, 'http://www.wikidata.org/prop/direct/P2550', 4, 'http://www.wikidata.org/prop/direct/P1889', 26, 'http://www.wikidata.org/prop/direct/P1433', 2
'TCAAPL7Z', '0', '1', 'http://www.wikidata.org/prop/direct/P1889', 7, 'http://www.wikidata.org/prop/P1243', 1, 'http://www.wikidata.org/prop/direct/P2550', 4, 'http://www.wikidata.org/prop/direct/P1889', 7
'TCAAPL7Z', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'TCAAPL7Z', '0', '3', 'http://www.wikidata.org/prop/direct/P2550', 10, 'http://www.wikidata.org/prop/P1476', 6, 'http://www.wikidata.org/prop/P1243', 2, 'http://www.wikidata.org/prop/direct/P2550', 10, 'http://www.wikidata.org/prop/direct/P1889', 2, 'http://www.wikidata.org/prop/direct/P1433', 1
'87GRCW3V', '0', '1', 'http://www.wikidata.org/prop/direct/P2550', 4, 'http://www.wikidata.org/prop/P1243', 1, 'http://www.wikidata.org/prop/direct/P2550', 4, 'http://www.wikidata.org/prop/direct/P1889', 4
'87GRCW3V', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'87GRCW3V', '0', '3', 'http://www.wikidata.org/prop/direct/P2550', 6, 'http://www.wikidata.org/prop/P1476', 2, 'http://www.wikidata.org/prop/direct/P2550', 6, 'http://www.wikidata.org/prop/direct/P1889', 2
'RFDMV4ZF', '0', '1', 'http://www.wikidata.org/prop/direct/P407'
'RFDMV4ZF', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'RFDMV4ZF', '0', '3', 'http://www.wikidata.org/prop/direct/P658', 4, 'http://www.wikidata.org/prop/direct/P658', 4, 'http://www.wikidata.org/prop/P658', 1
'RFDMV4ZF', '0', '4', 'http://www.wikidata.org/prop/direct/P136'
'LZ7MNOXQ', '0', '1', 'http://www.wikidata.org/prop/direct/P407', 10, 'http://www.wikidata.org/prop/direct/P407', 10, 'http://www.wikidata.org/prop/direct/P364', 6
'LZ7MNOXQ', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'LZ7MNOXQ', '0', '3', 'http://www.wikidata.org/prop/direct/P658', 4, 'http://www.wikidata.org/prop/P658', 1, 'http://www.wikidata.org/prop/direct/P658', 4
'LZ7MNOXQ', '0', '4', 'http://www.wikidata.org/prop/direct/P136'
'8I674N7M', '0', '1', 'http://www.wikidata.org/prop/direct/P407'
'8I674N7M', '0', '2', 'http://www.wikidata.org/prop/direct/P31'
'8I674N7M', '0', '3', 'http://www.wikidata.org/prop/direct/P658', 3, 'http://www.wikidata.org/prop/direct/P658', 3, 'http://www.wikidata.org/prop/P658', 1
'8I674N7M', '0', '4', 'http://www.wikidata.org/prop/direct/P136'
'2OFIDB1M', '0', '1', 'http://www.wikidata.org/prop/direct/P156'
'2OFIDB1M', '0', '2', 'http://www.wikidata.org/prop/P577'
'2OFIDB1M', '0', '3', 'http://www.wikidata.org/prop/direct/P264'
'2OFIDB1M', '0', '4', 'http://www.wikidata.org/prop/direct/P175'
'U5R32OR6', '0', '1', 'http://www.wikidata.org/prop/direct/P156'
'U5R32OR6', '0', '2', 'http://www.wikidata.org/prop/P577', 11, 'http://www.wikidata.org/prop/direct/P123', 1, 'http://www.wikidata.org/prop/P577', 11, 'http://www.wikidata.org/prop/direct/P1889', 1, 'http://www.wikidata.org/prop/direct/P361', 2, 'http://www.wikidata.org/prop/direct/P86', 1
'U5R32OR6', '0', '3', 'http://www.wikidata.org/prop/direct/P264'
'U5R32OR6', '0', '4', 'http://www.wikidata.org/prop/direct/P175'
'BLMZK6VA', '0', '1', 'http://www.wikidata.org/prop/direct/P156', 4, 'http://www.wikidata.org/prop/direct/P156', 4, 'http://www.wikidata.org/prop/direct/P800', 2
'BLMZK6VA', '0', '2', 'http://www.wikidata.org/prop/P577', 3, 'http://www.wikidata.org/prop/P577', 3, 'http://www.wikidata.org/prop/P527', 2, 'http://www.wikidata.org/prop/direct/P800', 1, 'http://www.wikidata.org/prop/P800', 1, 'http://www.wikidata.org/prop/direct/P1344', 1, 'http://www.wikidata.org/prop/direct/P1433', 1
'BLMZK6VA', '0', '3', 'http://www.wikidata.org/prop/direct/P264'
'BLMZK6VA', '0', '4', 'http://www.wikidata.org/prop/direct/P175', 5, 'http://www.wikidata.org/prop/direct/P658', 2, 'http://www.wikidata.org/prop/direct/P800', 1, 'http://www.wikidata.org/prop/P1476', 1, 'http://www.wikidata.org/prop/direct/P175', 5, 'http://www.wikidata.org/prop/direct/P1889', 2, 'http://www.wikidata.org/prop/direct/P1433', 2
'GYR9408Q', '0', '1', 'http://www.wikidata.org/prop/direct/P31'
'GYR9408Q', '0', '2', 'http://www.wikidata.org/prop/direct/P6216'
'GYR9408Q', '0', '3', 'http://www.wikidata.org/prop/direct/P276', 46, 'http://www.wikidata.org/prop/direct/P276', 46, 'http://www.wikidata.org/prop/direct/P127', 31, 'http://www.wikidata.org/prop/direct/P195', 46
'UIMO5YS9', '0', '1', 'http://www.wikidata.org/prop/direct/P31'
'UIMO5YS9', '0', '2', 'http://www.wikidata.org/prop/direct/P6216'
'UIMO5YS9', '0', '3', 'http://www.wikidata.org/prop/direct/P276', 23, 'http://www.wikidata.org/prop/direct/P276', 23, 'http://www.wikidata.org/prop/direct/P127', 19, 'http://www.wikidata.org/prop/direct/P195', 23
'TRFBA7M9', '0', '1', 'http://www.wikidata.org/prop/direct/P31'
'TRFBA7M9', '0', '2', 'http://www.wikidata.org/prop/direct/P6216'
'TRFBA7M9', '0', '3', 'http://www.wikidata.org/prop/direct/P127', 9, 'http://www.wikidata.org/prop/direct/P276', 6, 'http://www.wikidata.org/prop/direct/P127', 9, 'http://www.wikidata.org/prop/direct/P195', 6
'WO2IA1NB', '0', '1', 'http://www.wikidata.org/prop/direct/P31'
'WO2IA1NB', '0', '2', 'http://www.wikidata.org/prop/direct/P6216'
'WO2IA1NB', '0', '3', 'http://www.wikidata.org/prop/direct/P276', 10, 'http://www.wikidata.org/prop/direct/P276', 10, 'http://www.wikidata.org/prop/direct/P127', 10, 'http://www.wikidata.org/prop/direct/P195', 10
'8SZHQ5EI', '0', '1', 'http://www.wikidata.org/prop/direct/P31'
'8SZHQ5EI', '0', '2', 'http://www.wikidata.org/prop/direct/P6216'
'8SZHQ5EI', '0', '3', 'http://www.wikidata.org/prop/direct/P127', 11, 'http://www.wikidata.org/prop/direct/P276', 9, 'http://www.wikidata.org/prop/direct/P127', 11, 'http://www.wikidata.org/prop/direct/P195', 9
'SVVWV86W', '0', '1', 'http://www.wikidata.org/prop/P571', 15, 'http://www.wikidata.org/prop/direct/P941', 1, 'http://www.wikidata.org/prop/direct/P138', 1, 'http://www.wikidata.org/prop/direct/P144', 2, 'http://www.wikidata.org/prop/direct/P1639', 1, 'http://www.wikidata.org/prop/P195', 1, 'http://www.wikidata.org/prop/P571', 15, 'http://www.wikidata.org/prop/P793', 1
'SVVWV86W', '0', '2', 'http://www.wikidata.org/prop/P2049'
'SVVWV86W', '0', '3', 'http://www.wikidata.org/prop/direct/P793'
'JQDQ24TI', '0', '1', 'http://www.wikidata.org/prop/P571', 11, 'http://www.wikidata.org/prop/P793', 3, 'http://www.wikidata.org/prop/P195', 3, 'http://www.wikidata.org/prop/P571', 11
'JQDQ24TI', '0', '2', 'http://www.wikidata.org/prop/P2049'
'JQDQ24TI', '0', '3', 'http://www.wikidata.org/prop/direct/P793'
'JNDWS2JB', '0', '1', 'http://www.wikidata.org/prop/P571'
'JNDWS2JB', '0', '2', 'http://www.wikidata.org/prop/P2049'
'JNDWS2JB', '0', '3', 'http://www.wikidata.org/prop/direct/P793'
'FO43H5VP', '0', '1', 'http://www.wikidata.org/prop/P571'
'FO43H5VP', '0', '2', 'http://www.wikidata.org/prop/P2049'
'FO43H5VP', '0', '3', 'http://www.wikidata.org/prop/direct/P793'
'G0L82KE4', '0', '1', 'http://www.wikidata.org/prop/P571', 3, 'http://www.wikidata.org/prop/direct/P276', 1, 'http://www.wikidata.org/prop/P571', 3
'G0L82KE4', '0', '2', 'http://www.wikidata.org/prop/P2049'
'G0L82KE4', '0', '3', 'http://www.wikidata.org/prop/direct/P793'
'VMNV3B6X', '0', '1', 'http://www.wikidata.org/prop/direct/P608'
'VMNV3B6X', '0', '2', 'http://www.wikidata.org/prop/direct/P180'
'VMNV3B6X', '0', '3', 'http://www.wikidata.org/prop/direct/P276'
'ZOOPI0HK', '0', '1', 'http://www.wikidata.org/prop/direct/P608', 15, 'http://www.wikidata.org/prop/direct/P608', 15, 'http://www.wikidata.org/prop/direct/P921', 1, 'http://www.wikidata.org/prop/direct/P170', 5, 'http://www.wikidata.org/prop/direct/P361', 1, 'http://www.wikidata.org/prop/direct/P1343', 6
'ZOOPI0HK', '0', '2', 'http://www.wikidata.org/prop/direct/P1071', 13, 'http://www.wikidata.org/prop/direct/P17', 9, 'http://www.wikidata.org/prop/direct/P180', 1, 'http://www.wikidata.org/prop/direct/P495', 6, 'http://www.wikidata.org/prop/direct/P1071', 13
'ZOOPI0HK', '0', '3', 'http://www.wikidata.org/prop/direct/P276'
'7B3Z7SHQ', '0', '1', 'http://www.wikidata.org/prop/direct/P608', 12, 'http://www.wikidata.org/prop/direct/P608', 12, 'http://www.wikidata.org/prop/direct/P170', 2, 'http://www.wikidata.org/prop/direct/P1343', 4
'7B3Z7SHQ', '0', '2', 'http://www.wikidata.org/prop/direct/P1071', 16, 'http://www.wikidata.org/prop/direct/P17', 6, 'http://www.wikidata.org/prop/direct/P180', 2, 'http://www.wikidata.org/prop/direct/P495', 6, 'http://www.wikidata.org/prop/direct/P1071', 16
